,Unnamed: 0,jersey_num,pts,fga,fga3,fgm,fgm3,fta,ftm,ast,blk,stl,dreb,oreb,reb,pf,tf,tov,mins_played,grade_level,division,jersey_no,height_in,season_y,school,conference,height_ft,conference_id,player_id_y,position,team_code_y
66,66,12,16.0,11.0,4.0,5.0,2.0,4.0,4.0,2.0,0.0,1.0,5.0,2.0,7.0,0.0,0.0,1.0,31.0,1.0,1.0,12.0,6.0,2014.0,Duke,ACC,6.0,821.0,1620696.0,F,193.0
67,67,12,16.0,12.0,4.0,4.0,2.0,6.0,6.0,1.0,1.0,1.0,4.0,1.0,5.0,3.0,0.0,1.0,32.0,1.0,1.0,12.0,6.0,2014.0,Duke,ACC,6.0,821.0,1620696.0,F,193.0
68,68,12,16.0,10.0,1.0,6.0,1.0,6.0,3.0,2.0,0.0,1.0,6.0,1.0,7.0,4.0,0.0,1.0,29.0,1.0,1.0,12.0,6.0,2014.0,Duke,ACC,6.0,821.0,1620696.0,F,193.0
69,69,12,18.0,10.0,2.0,6.0,1.0,7.0,5.0,2.0,1.0,1.0,4.0,2.0,6.0,1.0,0.0,1.0,21.0,1.0,1.0,12.0,6.0,2014.0,Duke,ACC,6.0,821.0,1620696.0,F,193.0
70,70,12,19.0,11.0,2.0,6.0,1.0,8.0,6.0,4.0,2.0,0.0,7.0,4.0,11.0,2.0,0.0,3.0,31.0,1.0,1.0,12.0,6.0,2014.0,Duke,ACC,6.0,821.0,1620696.0,F,193.0
71,71,12,19.0,7.0,0.0,5.0,0.0,11.0,9.0,2.0,0.0,2.0,8.0,1.0,9.0,3.0,0.0,2.0,29.0,1.0,1.0,12.0,6.0,2014.0,Duke,ACC,6.0,821.0,1620696.0,F,193.0
72,72,12,20.0,14.0,1.0,8.0,1.0,4.0,3.0,1.0,0.0,4.0,12.0,1.0,13.0,2.0,0.0,3.0,37.0,1.0,1.0,12.0,6.0,2014.0,Duke,ACC,6.0,821.0,1620696.0,F,193.0
73,73,12,20.0,16.0,7.0,7.0,3.0,3.0,3.0,3.0,2.0,0.0,6.0,1.0,7.0,1.0,0.0,1.0,36.0,1.0,1.0,12.0,6.0,2014.0,Duke,ACC,6.0,821.0,1620696.0,F,193.0
74,74,12,21.0,13.0,4.0,8.0,3.0,3.0,2.0,0.0,2.0,1.0,7.0,3.0,10.0,2.0,0.0,2.0,37.0,1.0,1.0,12.0,6.0,2014.0,Duke,ACC,6.0,821.0,1620696.0,F,193.0
75,75,25,28.0,15.0,0.0,7.0,0.0,16.0,14.0,4.0,0.0,0.0,14.0,3.0,17.0,5.0,0.0,8.0,38.0,1.0,1.0,25.0,10.0,2015.0,LSU,SEC,6.0,911.0,1747993.0,F,365.0
76,76,25,43.0,20.0,0.0,15.0,0.0,15.0,13.0,7.0,3.0,5.0,11.0,3.0,14.0,3.0,0.0,2.0,37.0,1.0,1.0,25.0,10.0,2015.0,LSU,SEC,6.0,911.0,1747993.0,F,365.0
77,77,25,23.0,13.0,0.0,8.0,0.0,9.0,7.0,6.0,1.0,3.0,4.0,1.0,5.0,0.0,0.0,1.0,29.0,1.0,1.0,25.0,10.0,2015.0,LSU,SEC,6.0,911.0,1747993.0,F,365.0
78,78,25,36.0,15.0,1.0,10.0,0.0,19.0,16.0,4.0,1.0,1.0,8.0,6.0,14.0,2.0,0.0,2.0,34.0,1.0,1.0,25.0,10.0,2015.0,LSU,SEC,6.0,911.0,1747993.0,F,365.0
79,79,25,23.0,9.0,0.0,6.0,0.0,18.0,11.0,6.0,1.0,1.0,8.0,4.0,12.0,5.0,1.0,5.0,37.0,1.0,1.0,25.0,10.0,2015.0,LSU,SEC,6.0,911.0,1747993.0,F,365.0
80,80,25,23.0,14.0,0.0,9.0,0.0,6.0,5.0,3.0,0.0,2.0,14.0,2.0,16.0,4.0,0.0,0.0,32.0,1.0,1.0,25.0,10.0,2015.0,LSU,SEC,6.0,911.0,1747993.0,F,365.0
81,81,25,24.0,14.0,0.0,10.0,0.0,4.0,4.0,7.0,0.0,1.0,3.0,6.0,9.0,0.0,0.0,3.0,33.0,1.0,1.0,25.0,10.0,2015.0,LSU,SEC,6.0,911.0,1747993.0,F,365.0
82,82,25,23.0,15.0,0.0,9.0,0.0,9.0,5.0,5.0,0.0,1.0,6.0,2.0,8.0,4.0,0.0,1.0,33.0,1.0,1.0,25.0,10.0,2015.0,LSU,SEC,6.0,911.0,1747993.0,F,365.0
83,83,25,4.0,6.0,0.0,1.0,0.0,5.0,2.0,10.0,3.0,3.0,11.0,3.0,14.0,5.0,0.0,0.0,40.0,1.0,1.0,25.0,10.0,2015.0,LSU,SEC,6.0,911.0,1747993.0,F,365.0
84,84,25,10.0,9.0,0.0,3.0,0.0,6.0,4.0,5.0,0.0,3.0,8.0,3.0,11.0,1.0,0.0,4.0,38.0,1.0,1.0,25.0,10.0,2015.0,LSU,SEC,6.0,911.0,1747993.0,F,365.0
85,85,25,10.0,11.0,0.0,4.0,0.0,7.0,2.0,1.0,1.0,1.0,9.0,3.0,12.0,4.0,1.0,3.0,31.0,1.0,1.0,25.0,10.0,2015.0,LSU,SEC,6.0,911.0,1747993.0,F,365.0
86,86,25,11.0,12.0,0.0,5.0,0.0,3.0,1.0,4.0,1.0,1.0,8.0,4.0,12.0,2.0,0.0,3.0,26.0,1.0,1.0,25.0,10.0,2015.0,LSU,SEC,6.0,911.0,1747993.0,F,365.0
87,87,25,11.0,7.0,0.0,4.0,0.0,4.0,3.0,5.0,2.0,0.0,8.0,5.0,13.0,4.0,0.0,3.0,29.0,1.0,1.0,25.0,10.0,2015.0,LSU,SEC,6.0,911.0,1747993.0,F,365.0
88,88,25,13.0,7.0,0.0,5.0,0.0,5.0,3.0,5.0,2.0,3.0,12.0,2.0,14.0,5.0,0.0,4.0,35.0,1.0,1.0,25.0,10.0,2015.0,LSU,SEC,6.0,911.0,1747993.0,F,365.0
89,89,25,14.0,5.0,0.0,5.0,0.0,6.0,4.0,3.0,1.0,2.0,7.0,3.0,10.0,2.0,0.0,2.0,27.0,1.0,1.0,25.0,10.0,2015.0,LSU,SEC,6.0,911.0,1747993.0,F,365.0
90,90,25,14.0,7.0,0.0,6.0,0.0,3.0,2.0,5.0,0.0,2.0,5.0,4.0,9.0,3.0,0.0,5.0,39.0,1.0,1.0,25.0,10.0,2015.0,LSU,SEC,6.0,911.0,1747993.0,F,365.0
